F o
s 4 BEGIN I N G
i 27 a b c d e f g h i j k l m n o p q r s t u v w x y z _
o 2 0 1
n0 BEGIN
p 108
BEGIN a BEGIN 0
BEGIN b BEGIN 0
BEGIN c BEGIN 0
BEGIN d BEGIN 0
BEGIN e BEGIN 0
BEGIN f BEGIN 0
BEGIN g BEGIN 0
BEGIN h BEGIN 0
BEGIN i I 0
BEGIN j BEGIN 0
BEGIN k BEGIN 0
BEGIN l BEGIN 0
BEGIN m BEGIN 0
BEGIN n BEGIN 0
BEGIN o BEGIN 0
BEGIN p BEGIN 0
BEGIN q BEGIN 0
BEGIN r BEGIN 0
BEGIN s BEGIN 0
BEGIN t BEGIN 0
BEGIN u BEGIN 0
BEGIN v BEGIN 0
BEGIN w BEGIN 0
BEGIN x BEGIN 0
BEGIN y BEGIN 0
BEGIN z BEGIN 0
BEGIN _ BEGIN 0
I a BEGIN 0
I b BEGIN 0
I c BEGIN 0
I d BEGIN 0
I e BEGIN 0
I f BEGIN 0
I g BEGIN 0
I h BEGIN 0
I i I 0
I j BEGIN 0
I k BEGIN 0
I l BEGIN 0
I m BEGIN 0
I n N 0
I o BEGIN 0
I p BEGIN 0
I q BEGIN 0
I r BEGIN 0
I s BEGIN 0
I t BEGIN 0
I u BEGIN 0
I v BEGIN 0
I w BEGIN 0
I x BEGIN 0
I y BEGIN 0
I z BEGIN 0
I _ BEGIN 0
N a BEGIN 0
N b BEGIN 0
N c BEGIN 0
N d BEGIN 0
N e BEGIN 0
N f BEGIN 0
N g G 0
N h BEGIN 0
N i I 0
N j BEGIN 0
N k BEGIN 0
N l BEGIN 0
N m BEGIN 0
N n BEGIN 0
N o BEGIN 0
N p BEGIN 0
N q BEGIN 0
N r BEGIN 0
N s BEGIN 0
N t BEGIN 0
N u BEGIN 0
N v BEGIN 0
N w BEGIN 0
N x BEGIN 0
N y BEGIN 0
N z BEGIN 0
N _ BEGIN 0
G a BEGIN 0
G b BEGIN 0
G c BEGIN 0
G d BEGIN 0
G e BEGIN 0
G f BEGIN 0
G g BEGIN 0
G h BEGIN 0
G i I 0
G j BEGIN 0
G k BEGIN 0
G l BEGIN 0
G m BEGIN 0
G n BEGIN 0
G o BEGIN 0
G p BEGIN 0
G q BEGIN 0
G r BEGIN 0
G s BEGIN 0
G t BEGIN 0
G u BEGIN 0
G v BEGIN 0
G w BEGIN 0
G x BEGIN 0
G y BEGIN 0
G z BEGIN 0
G _ BEGIN 1
